REGISTRO;PRODUTO;TIPO DE PRODUTO ;APRESENTACAO;CLASSE TERAPEUTICA;CNPJ;LABORATORIO;PF Sem Impostos;TARJA
1,02E+12;HIBOR;Biológico;10000 UI SOL INJ CX 2 SER PREENC X 0,4 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;59,6;Tarja  Vermelha
1,02E+12;HIBOR;Biológico;5000 UI SOL INJ CX 2 SER PREENC X 0,2 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;27,34;Tarja  Vermelha
1,02E+12;HIBOR;Biológico;7500 UI SOL INJ CX 2 SER PREENC X 0,3 ML;B01B2 - HEPARINAS FRACIONADAS;57.507.378/0003-65;EMS S/A;40,99;Tarja  Vermelha
1,06E+12;TROMBOFOB GEL;Biológico;200 UI/G GL TOP CT BG AL X 40 G  ;C05B0 - TERAPIA ANTIVARICOSA TÓPICA;56.998.701/0001-16;ABBOTT LABORATÓRIOS DO BRASIL LTDA;11,2;Tarja Venda Livre
1,16E+12;HEPAMAX-S;Biológico;5000 UI/ML SOL INJ CX C/ 25 FA VD INC X 5 ML ;B01B1 - HEPARINAS NÃO FRACIONADA;58.430.828/0001-60;BLAU FARMACÊUTICA S.A.;459,09;Tarja  Vermelha
1,16E+12;HEPAMAX-S;Biológico;5000 UI/ML SOL INJ CX C/25 AMP VD INC X 5 ML;B01B1 - HEPARINAS NÃO FRACIONADA;58.430.828/0001-60;BLAU FARMACÊUTICA S.A.;459,09;Tarja  Vermelha
1,16E+12;HEPAMAX-S;Biológico;5000 UI/ML SOL INJ CT C/ 1 FA VD TRANS X 10 ML;B01B1 - HEPARINAS NÃO FRACIONADA;58.430.828/0001-60;BLAU FARMACÊUTICA S.A.;15,83;Tarja - (*)
1,16E+12;HEPAMAX-S;Biológico;5000 UI/ML SOL INJ CX C/ 100 FA VD TRANS X 10 ML;B01B1 - HEPARINAS NÃO FRACIONADA;58.430.828/0001-60;BLAU FARMACÊUTICA S.A.;1582,56;Tarja - (*)
1,16E+12;HEPAMAX-S;Biológico;5000 UI/ML SOL INJ CX C/ 25 FA VD TRANS X 10 ML;B01B1 - HEPARINAS NÃO FRACIONADA;58.430.828/0001-60;BLAU FARMACÊUTICA S.A.;395,64;Tarja - (*)
1,06E+12;TROMBOFOB;Biológico;50 UI/G +2,067 MG/G POM DERM CT BG AL X 40 G;C05B0 - TERAPIA ANTIVARICOSA TÓPICA;56.998.701/0001-16;ABBOTT LABORATÓRIOS DO BRASIL LTDA;9,03;Tarja Venda Livre
1,06E+12;VENALOT H;Novo;5 MG/ML + 50 UI/ML CREM DERM CT FR PLAS OPC X 240 ML  ;C05B0 - TERAPIA ANTIVARICOSA TÓPICA;60.397.775/0001-74;TAKEDA PHARMA LTDA.;36,07;Tarja  Vermelha
1,13E+12;DACTIL OB;Novo;100 MG + 50 MG + 50 MG DRG CT 2 BL AL PLAS LARANJA X 15;A03A0 - ANTIESPASMÓDICOS E ANTICOLINÉRGICOS PUROS;02.685.377/0001-57;SANOFI-AVENTIS FARMACÊUTICA LTDA;11,39;Tarja  Vermelha
1,06E+12;DIOSMIN SDU;Novo;900 MG + 100 MG GRAN CT 7 SACH X 5 G (SABOR ABACAXI);C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;20,93;Tarja  Vermelha
1,13E+12;DAFLON;Específico;900 + 100 MG COM REV CT BL AL PLAS PVC TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;42.374.207/0001-76;LABORATÓRIOS SERVIER DO BRASIL LTDA;72,96;Tarja  Vermelha
1,13E+12;DAFLON;Específico;900 + 100 MG COM REV CT BL AL PLAS PVC TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;42.374.207/0001-76;LABORATÓRIOS SERVIER DO BRASIL LTDA;130,42;Tarja  Vermelha
1,10E+12;FLAVENOS;Similar;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;49.475.833/0001-06;BIOLAB SANUS FARMACÊUTICA LTDA;64,46;Tarja  Vermelha
1,00E+12;PERIVASC;Específico;450 MG + 50 MG COM REV CT BL AL PLAS INC X 30 ;C05C0 - VASOPROTETORES SISTÊMICOS;61.190.096/0001-92;EUROFARMA LABORATÓRIOS S.A.;35,93;Tarja  Vermelha
1,00E+12;PERIVASC;Específico;450 MG + 50 MG COM REV CT BL AL PLAS INC X 60;C05C0 - VASOPROTETORES SISTÊMICOS;61.190.096/0001-92;EUROFARMA LABORATÓRIOS S.A.;65,87;Tarja  Vermelha
1,04E+12;VENAFLON;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;17.159.229/0001-76;LABORATÓRIO TEUTO BRASILEIRO S/A;81,28;Tarja  Vermelha
1,00E+12;PERIVASC;Específico;450 MG + 50 MG COM REV CT BL AL PLAS INC X 10;C05C0 - VASOPROTETORES SISTÊMICOS;61.190.096/0001-92;EUROFARMA LABORATÓRIOS S.A.;11,48;Tarja  Vermelha
1,06E+12;DIOSMIN SDU;Novo;900 MG + 100 MG GRAN CT 7 SACH X 5 G (SABOR LARANJA/LIMÃO) ;C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;20,93;Tarja  Vermelha
1,13E+12;DAFLON;Específico;900 + 100 MG COM REV CT BL AL PLAS PVC TRANS X 10;C05C0 - VASOPROTETORES SISTÊMICOS;42.374.207/0001-76;LABORATÓRIOS SERVIER DO BRASIL LTDA;24,3;Tarja  Vermelha
1,78E+12;VELUNID;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;61.082.426/0002-07;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;42,02;Tarja  Vermelha
1,78E+12;VELUNID;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;61.082.426/0002-07;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;84,03;Tarja  Vermelha
1,16E+12;VARIFLUX;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;17.562.075/0001-69;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;41,07;Tarja Vermelha(*)
1,16E+12;VARIFLUX;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;17.562.075/0001-69;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;74,45;Tarja Vermelha(*)
1,16E+12;VARIFLUX;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 15;C05C0 - VASOPROTETORES SISTÊMICOS;17.562.075/0001-69;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;21,56;Tarja Vermelha(*)
1,78E+12;CONDUVAZ;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 15;C05C0 - VASOPROTETORES SISTÊMICOS;09.545.589/0001-88;MABRA FARMACÊUTICA LTDA.;19,58;Tarja Vermelha(*)
1,78E+12;CONDUVAZ;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;09.545.589/0001-88;MABRA FARMACÊUTICA LTDA.;39,13;Tarja Vermelha(*)
1,78E+12;CONDUVAZ;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;09.545.589/0001-88;MABRA FARMACÊUTICA LTDA.;74,45;Tarja Vermelha(*)
1,13E+12;DAFLON;Específico;900 + 100 MG SUS OR CT ENV AL PLAS PE X 30;C05C0 - VASOPROTETORES SISTÊMICOS;42.374.207/0001-76;LABORATÓRIOS SERVIER DO BRASIL LTDA;72,96;Tarja  Vermelha
1,13E+12;DAFLON;Específico;900 + 100 MG SUS OR CT ENV AL PLAS PE X 60;C05C0 - VASOPROTETORES SISTÊMICOS;42.374.207/0001-76;LABORATÓRIOS SERVIER DO BRASIL LTDA;145,91;Tarja  Vermelha
1,04E+12;VENAFLON;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;17.159.229/0001-76;LABORATÓRIO TEUTO BRASILEIRO S/A;40,63;Tarja  Vermelha
1,06E+12;DIOSMIN;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;48,96;Tarja  Vermelha
1,06E+12;DIOSMIN;Específico;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 60;C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;95,08;Tarja  Vermelha
1,06E+12;DIOSMIN;Específico;450 MG + 50 MG COM REV CT  BL AL PLAS TRANS X 10;C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;16,07;Tarja  Vermelha
1,06E+12;DIOSMIN SDU;Novo;900 MG + 100 MG GRAN CT 15 SACH X 5 G (SABOR LARANJA/LIMÃO);C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;44,73;Tarja  Vermelha
1,06E+12;DIOSMIN SDU;Novo;900 MG + 100 MG GRAN CT 30 SACH X 5 G (SABOR LARANJA/LIMÃO);C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;89,46;Tarja  Vermelha
1,06E+12;DIOSMIN SDU;Novo;900 MG + 100 MG GRAN CT 15 SACH X 5 G (SABOR ABACAXI) ;C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;44,73;Tarja  Vermelha
1,06E+12;DIOSMIN SDU;Novo;900 MG + 100 MG GRAN CT 30 SACH X 5 G (SABOR ABACAXI);C05C0 - VASOPROTETORES SISTÊMICOS;60.659.463/0029-92;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;89,46;Tarja  Vermelha
1,10E+12;FLAVENOS;Similar;450 MG + 50 MG COM REV CT BL AL PLAS TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;49.475.833/0001-06;BIOLAB SANUS FARMACÊUTICA LTDA;35,5;Tarja  Vermelha
1,13E+12;DAFLON;Específico;450 + 50 MG COM REV CT BL AL PLAS PVC TRANS X 30;C05C0 - VASOPROTETORES SISTÊMICOS;42.374.207/0001-76;LABORATÓRIOS SERVIER DO BRASIL LTDA;51,41;Tarja  Vermelha
